strategy,map50,map5095,fps,city_day_map50,city_night_map50,highway_day_map50,highway_night_map50,residential_map50
Global Distilled,0.4809,0.3029,159.7,0.6038,0.5486,0.4033,0.4506,0.5857
Global Large,0.5283,0.3392,134.7,0.6739,0.5903,0.4583,0.5605,0.582
Global XLarge,0.6262,0.3954,77.0,0.737,0.6827,0.5464,0.6068,0.6265
Hard Routing,0.6859,0.4771,159.6,0.6451,0.6799,0.5624,0.7423,0.6647
DAFT k=1,0.6819,0.4686,84.6,0.6403,0.6648,0.57,0.7421,0.6472
DAFT k=2,0.6917,0.4679,53.0,0.6459,0.6806,0.5747,0.7456,0.6638
DAFT k=3,0.6949,0.4691,40.4,0.6507,0.6823,0.5753,0.7461,0.6672
DAFT k=4,0.6975,0.4702,31.7,0.6548,0.6838,0.5759,0.7478,0.669
DAFT k=5,0.6991,0.4707,26.5,0.6553,0.685,0.5776,0.7484,0.6715
